
The Optimal Objective value (Generation Dispatch cost) is: 720870

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	11.2674 MW
2	11.2674 MW
3	11.2674 MW
4	11.2674 MW
5	11.2674 MW
6	379.225 MW
7	156.747 MW
8	293.267 MW
9	68.7661 MW
10	118.318 MW
11	1951.74 MW
12	242.704 MW
13	11.2674 MW
14	11.2674 MW
15	284.166 MW
16	703.843 MW
17	84.9462 MW
18	219.445 MW
19	104.161 MW
20	376.192 MW
21	218.434 MW
22	11.2674 MW
23	207.31 MW
24	11.2674 MW
25	230.569 MW
26	84.9462 MW
27	202.253 MW
28	1213.52 MW
29	1213.52 MW
30	480.353 MW
31	1995.23 MW
32	428.777 MW
33	275.065 MW
34	101.127 MW
35	455.071 MW
36	252.817 MW
37	306.414 MW
38	348.887 MW
39	303.381 MW
40	606.759 MW
41	252.817 MW
42	556.198 MW
43	581.914 MW
44	171.916 MW
45	84.9462 MW
46	472.261 MW
47	630.018 MW
48	1223.63 MW
49	236.637 MW
50	376.192 MW
51	333.719 MW
52	187.084 MW
53	414.62 MW
54	505.634 MW
55	37.4169 MW
56	11.2674 MW
57	45.5071 MW
58	166.859 MW
59	404.507 MW
60	404.507 MW
61	117.307 MW
62	1306.56 MW
63	707.888 MW
64	559.23 MW
65	11.2674 MW
66	11.2674 MW
67	11.2674 MW
68	50.5634 MW
69	8.09014 MW
Finished writing Power Generation
