
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	3.40145
2	3.3917
3	3.36764
4	3.48393
5	3.42032
6	3.40698
7	3.31514
8	3.5123
9	3.35597
10	3.39597
11	3.29774
12	3.40294
13	3.53042
14	3.18316
15	3.33264
16	3.37997
17	3.39876
18	3.32597
19	3.16352
20	3.31439
21	3.27596
22	3.37148
23	3.31542
24	3.49734
25	3.24566
26	3.0791
27	3.00842
28	2.93275
29	3.00104
30	2.96892
31	3.04329
32	3.06361
33	3.09894
34	3.25182
35	3.20413
36	3.39809
37	3.36247
38	3.31486
39	3.40549
40	3.31935
41	3.51792
42	3.26014
43	3.25702
44	2.92941
45	3.03046
46	2.91682
47	2.91601
48	2.94907
49	2.71814
50	2.66649
51	2.63853
52	2.65237
53	2.67739
54	2.74781
55	2.90133
56	2.93286
57	2.85509
58	3.07565
59	3.23538
60	2.87545
61	2.91727
62	2.95144
63	2.84996
64	2.84238
65	2.90188
66	2.73931
67	2.86895
68	2.91799
69	3.0339
70	2.74075
71	2.77502
72	2.67387
73	2.70555
74	2.88935
75	2.90273
76	2.90225
77	2.94003
78	3.09673
79	3.02925
80	3.13291
81	2.98198
82	3.18595
83	3.14831
84	3.18435
85	3.24319
86	3.28062
87	3.05139
88	3.25718
89	3.3732
90	2.73206
91	2.63448
92	2.67649
93	2.58539
94	2.68863
95	2.52787
96	2.61197
97	2.4932
98	2.69287
99	2.61151
100	2.63909
101	2.69333
102	2.66998
103	2.64768
104	2.61443
105	2.81653
106	2.7255
107	2.73083
108	2.88041
109	2.9479
110	2.82979
111	2.92771
112	2.94074
113	3.05933
114	3.04818
115	3.08049
116	2.96799
117	2.97447
118	2.95195
119	2.943
120	2.93857
121	2.8309
122	2.69895
123	2.7308
124	2.89105
125	2.88808
126	2.77953
127	2.59687
128	2.60203
129	2.567
130	3.0112
131	3.00891
132	3.00729
133	3.00556
134	3.00536
135	3.00559
136	3.15445
137	3.16196
138	3.08767
139	3.29721
140	3.06408
141	3.27414
142	2.98236
143	2.95915
144	2.97937
145	3.05587
146	3.0361
147	3.07989
148	3.1507
149	3.26407
150	3.36032
151	3.07062
152	3.22555
153	3.2599
154	3.2104
155	3.25957
156	3.40592
157	3.25997
158	3.37909
159	3.21501
160	3.65808
161	3.31534
162	3.36734
163	3.18398
164	3.24328
165	3.23533
166	3.41861
167	3.57236
168	3.3273
169	3.46291
170	3.3742
171	3.44221
172	3.38564
173	3.29756
174	3.32616
175	3.27966
176	3.31408
177	3.44438
178	3.39655
179	3.31325
180	3.35977
181	3.46047
182	3.54032
183	3.34557
184	3.42367
185	3.23874
186	3.3581
187	3.45878
188	3.30775
189	3.24502
190	3.20281
191	3.60589
192	3.57663
193	3.55363
194	3.42604
195	3.51525
196	3.53879
197	3.59084
198	3.74544
199	3.88245
200	3.95124
201	4.03736
202	3.16335
203	3.46553
204	3.38032
205	3.42855
206	3.28489
207	2.6255
208	2.60655
209	2.63324
210	2.66514
211	2.74119
212	2.7244
213	2.71397
214	2.7153
215	3.3137
216	2.91066
217	2.90709
218	2.60178
219	2.65725
220	2.58467
221	2.7151
222	2.68514
223	2.70194
224	2.68252
225	2.64935
226	2.73708
227	2.65522
228	2.705
229	2.62579
230	2.62097
231	2.5966
232	2.56875
233	2.56788
234	2.72546
235	2.87309
236	2.76857
237	2.7664
238	2.68667
239	2.69672
240	2.68932
241	2.70961
242	2.71664
243	2.69994
244	2.723
245	2.69582
246	2.678
247	2.7175
248	2.71653
249	2.60466
250	2.72152
251	2.72301
252	2.85702
253	2.67612
254	2.62732
255	2.72142
256	2.8201
257	2.80625
258	2.81199
259	2.71387
260	2.7029
261	2.68155
262	2.73808
263	2.71769
264	2.68603
265	2.54439
266	2.50168
267	2.9346
268	2.82439
269	2.92596
270	2.93189
271	2.92684
272	2.88841
273	2.78524
274	2.8023
275	2.69927
276	2.71735
277	2.69442
278	2.76368
279	2.72785
280	2.73455
281	2.73742
282	2.7087
283	2.78252
284	2.78128
285	2.75648
286	2.73711
287	2.75409
288	2.97683
289	2.82214
290	2.97294
291	3.01145
292	2.99932
293	2.77204
294	2.78132
295	2.88833
296	2.88377
297	2.91827
298	2.90052
299	2.902
300	2.96401
Finished writing Internal Node Voltage Phase Angles
