
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-30.7533 MW
2	77.7676 MW
3	38.9514 MW
4	53.0064 MW
5	66.2467 MW
6	37.9787 MW
7	43.5278 MW
8	5.13243 MW
9	1.17006 MW
10	13.8282 MW
11	17.848 MW
12	-7.86757 MW
13	-1.38046 MW
14	-25.6109 MW
15	-60.2511 MW
16	58.8706 MW
17	100 MW
18	18.9515 MW
19	24.8331 MW
20	2.5168 MW
21	13.195 MW
22	19.5035 MW
23	-19.3305 MW
24	33.282 MW
25	-0.287395 MW
26	10.1743 MW
27	14.9462 MW
28	23.1441 MW
29	4.04862 MW
30	-11.0064 MW
31	8.68886 MW
32	-22.5586 MW
33	31.9214 MW
34	-42.7319 MW
35	40.9208 MW
36	34.0049 MW
37	4.4762 MW
38	1.1762 MW
39	1.1238 MW
40	-1.1238 MW
41	8.23224 MW
42	-9.35604 MW
43	1.93224 MW
44	6.93859 MW
45	6.66782 MW
46	-11.6742 MW
47	7.30641 MW
48	-11.6742 MW
49	-20.9742 MW
50	-25.5742 MW
51	16.2965 MW
52	3.70641 MW
53	-2.09359 MW
54	3.8 MW
55	7.49359 MW
56	-7.49359 MW
57	-13.4936 MW
58	-15.3132 MW
59	1.81965 MW
60	-18.0731 MW
61	2.75984 MW
62	-22.0049 MW
63	-13.7932 MW
64	-5.63097 MW
65	2.75984 MW
66	1.81965 MW
67	9.36085 MW
68	-12.9462 MW
69	-7.45967 MW
70	-2.26085 MW
71	-34.0049 MW
72	40.9208 MW
73	11.2208 MW
74	-2.57246 MW
75	5.71796 MW
76	-15.282 MW
77	11.3965 MW
78	-8.60354 MW
79	-12.7035 MW
80	-3.94016 MW
Finished writing Internal Transmission lines' MW Flows
