
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	3.1147
2	3.12331
3	3.06701
4	3.0531
5	3.04633
6	3.05137
7	3.05278
8	3.09568
9	3.04518
10	3.01336
11	3.02412
12	3.03776
13	3.02433
14	3.02056
15	3.04394
16	3.03446
17	3.05746
18	2.97636
19	2.9457
20	2.94059
21	2.94932
22	2.95064
23	2.94938
24	2.94444
25	2.86242
26	2.94996
27	2.97961
28	2.99962
29	3.01463
30	2.84766
31	2.82924
32	2.84505
33	2.84368
34	2.91646
35	2.92231
36	2.92955
37	2.93516
38	2.9534
39	2.93411
40	2.92871
41	2.94792
42	2.91497
43	3.00125
44	2.96627
45	3.0085
46	2.99048
47	2.96266
48	2.96004
49	2.96336
50	2.95604
51	2.98966
52	2.98416
53	2.97294
54	2.9929
55	3.02168
56	2.90696
57	2.89672
Finished writing Internal Node Voltage Phase Angles
