
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	21.9456 MW
2	22.7843 MW
3	18.8524 MW
4	15.4749 MW
5	24.181 MW
6	20.3843 MW
7	23.8752 MW
8	7.76154 MW
9	15.4749 MW
10	7.32509 MW
11	26.0487 MW
12	6.11406 MW
13	3.49689 MW
14	5.07149 MW
15	-3.95131 MW
16	6.11406 MW
17	0 MW
18	6.87423 MW
19	8.06607 MW
20	-5.0535 MW
21	-6.07585 MW
22	-22.3136 MW
23	5.06118 MW
24	8.18816 MW
25	5.62577 MW
26	-1.13882 MW
27	6.83393 MW
28	-7.98459 MW
29	2.12577 MW
30	3.63393 MW
31	-5.86607 MW
32	-22.5535 MW
33	3.69657 MW
34	4.59933 MW
35	-0.4041 MW
36	3.5 MW
37	-3.9041 MW
38	1.12017 MW
39	6.06472 MW
40	6.93528 MW
41	3.66472 MW
Finished writing Internal Transmission lines' MW Flows
