91 2
1	-0.51
2	-0.2
3	-0.39
4	-0.3
6	-0.52
7	-0.19
11	-0.7
12	-0.47
13	-0.34
14	-0.14
15	-0.9
16	-0.25
17	-0.11
18	-0.6
19	-0.45
20	-0.18
21	-0.14
22	-0.1
23	-0.07
27	-0.62
28	-0.17
29	-0.24
31	-0.43
32	-0.59
33	-0.23
34	-0.59
35	-0.33
36	-0.31
39	-0.27
40	-0.2
41	-0.37
42	-0.37
43	-0.18
44	-0.16
45	-0.53
46	-0.28
47	-0.34
48	-0.2
49	-0.87
50	-0.17
51	-0.17
52	-0.18
53	-0.23
54	-1.13
55	-0.63
56	-0.84
57	-0.12
58	-0.12
59	-2.77
60	-0.78
62	-0.77
66	-0.39
67	-0.28
70	-0.66
74	-0.68
75	-0.47
76	-0.68
77	-0.61
78	-0.71
79	-0.39
80	-1.3
82	-0.54
83	-0.2
84	-0.11
85	-0.24
86	-0.21
88	-0.48
90	-0.78
92	-0.65
93	-0.12
94	-0.3
95	-0.42
96	-0.38
97	-0.15
98	-0.34
100	-0.37
101	-0.22
102	-0.05
103	-0.23
104	-0.38
105	-0.31
106	-0.43
107	-0.28
108	-0.02
109	-0.08
110	-0.39
112	-0.25
114	-0.08
115	-0.22
117	-0.2
118	-0.33

