41 4
1	2	0.0192	0.0575
1	3	0.0452	0.1652
2	4	0.057	0.1737
2	5	0.0472	0.1983
2	6	0.0581	0.1763
3	4	0.0132	0.0379
4	6	0.0119	0.0414
4	12	0	0.256
5	7	0.046	0.116
6	7	0.0267	0.082
6	8	0.012	0.042
6	9	0	0.208
6	10	0	0.556
6	28	0.0169	0.0599
8	28	0.0636	0.2
9	10	0	0.11
9	11	0	0.208
10	17	0.0324	0.0845
10	20	0.0936	0.209
10	21	0.0348	0.0749
10	22	0.0727	0.1499
12	13	0	0.14
12	14	0.1231	0.2559
12	15	0.0662	0.1304
12	16	0.0945	0.1987
14	15	0.221	0.1997
15	18	0.1073	0.2185
15	23	0.1	0.202
16	17	0.0524	0.1923
18	19	0.0639	0.1292
19	20	0.034	0.068
21	22	0.0116	0.0236
22	24	0.115	0.179
23	24	0.132	0.27
24	25	0.1885	0.3292
25	26	0.2544	0.38
25	27	0.1093	0.2087
28	27	0	0.396
27	29	0.2198	0.4153
27	30	0.3202	0.6027
29	30	0.2399	0.4533

